ubigeo,personal_total,programa_anemia,centro_salud_municipal,Año
120136,16,1,0,2021
120201,154,0,0,2021
120202,6,0,0,2021
120203,18,0,1,2021
120204,10,1,0,2021
120205,5,0,0,2021
120206,14,0,0,2021
120207,10,1,0,2021
120208,7,0,0,2021
120209,3,0,0,2021
120210,24,0,1,2021
120211,4,1,0,2021
120212,10,0,0,2021
120213,27,1,0,2021
120214,14,0,0,2021
120215,2,0,1,2021
120301,220,0,0,2021
120302,180,0,0,2021
120303,230,1,0,2021
120304,33,0,0,2021
120305,153,0,1,2021
120306,15,1,0,2021
120401,139,0,0,2021
120402,27,0,1,2021
120403,12,1,0,2021
120404,2,0,0,2021
120405,18,0,0,2021
120406,6,0,0,2021
120407,5,0,0,2021
120408,9,0,0,2021
120409,0,0,0,2021
120410,6,0,0,2021
120411,2,1,0,2021
120412,2,1,0,2021
120413,1,1,0,2021
120414,2,0,0,2021
120415,1,0,0,2021
120416,8,0,0,2021
120417,5,1,0,2021
120418,1,1,0,2021
120419,14,1,0,2021
120420,10,0,1,2021
120421,7,1,0,2021
120422,11,0,0,2021
120423,3,1,0,2021
120424,2,1,0,2021
120425,5,0,0,2021
120426,11,1,0,2021
120427,1,1,0,2021
120428,7,1,0,2021
120429,2,1,0,2021
120430,5,0,0,2021
120431,6,1,1,2021
120432,3,1,0,2021
120433,6,0,0,2021
120434,41,0,0,2021
120501,92,1,0,2021
120502,28,0,1,2021
120503,11,1,1,2021
120504,15,0,0,2021
120601,515,1,0,2021
120602,34,1,0,2021
120603,30,0,0,2021
120604,148,1,1,2021
120605,43,0,0,2021
120606,208,1,0,2021
120607,126,1,0,2021
120608,97,1,0,2021
120609,24,1,0,2021
120701,268,0,0,2021
120702,46,0,0,2021
120703,5,0,0,2021
120704,37,1,0,2021
120705,22,0,0,2021
120706,20,0,0,2021
120707,25,0,0,2021
120708,18,0,0,2021
120709,18,1,0,2021
120801,163,1,0,2021
120802,7,1,0,2021
120803,7,0,0,2021
120804,18,0,0,2021
120805,71,1,1,2021
120806,17,1,0,2021
120807,25,1,0,2021
120808,69,1,0,2021
120809,8,1,0,2021
120810,44,1,0,2021
